location,2000,2005,2010,2011,2012,2013,2014
Congo (Kinshasa),0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0
Sudan and South Sudan,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0
China,0,22,46,52,59,65,69
Japan,0,0,2,2,2,4,5
Mongolia,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0
Afghanistan,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0
India,3,4,3,7,6,5,8
Turkmenistan,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0
"Korea, North",0,0,0,0,0,0,0
Maldives,0,0,0,0,0,0,0
"Korea, South",0,0,7,6,7,7,5
Nepal,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0
Cuba,1,1,8,9,8,8,8
Guatemala,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0
France,8,10,60,60,67,66,66
Luxembourg,0,0,1,1,1,1,1
Malta,0,0,0,0,0,0,0
Belarus,0,0,1,1,1,1,1
Germany,5,41,76,75,77,71,67
Italy,0,4,33,35,33,27,27
Spain,2,7,35,40,41,21,21
Netherlands,0,0,7,9,10,10,7
Poland,0,1,20,23,20,19,20
Belgium,0,0,9,9,9,8,11
