location,1990,2000,2005,2010,2011,2012,2013,2014
Congo (Kinshasa),186,106,132,153,158,146,161,142
Congo (Brazzaville),0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,33,46
Algeria,1108,443,718,3.1,2.2,13,43,42
South Africa,147902,173366,188823,201418,194735,204801,203601,201202
Libya,0,0,0,0,0,0,0,0
Egypt,1400,1995,1959,2472,1098,1021,336,646
Guinea,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0
Togo,0,0,0,160,144,211,107,133
Sierra Leone,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0
Kenya,166,118,160,295,422,378,374,409
"Gambia, The",0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,55,187,248,321,380
Burundi,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0.04188778
Swaziland,176,222,159,153,155,216,162,169
Equatorial Guinea,0,0,0,0,0,0,0,0
Zimbabwe,1561,1750,679,1689,1890,2090,2185,2361
Malawi,20,69,65,60,60,60,60,78
Mozambique,0,0,0,0,0,0,0,0
Niger,190,159,193,273,280,273,263,290
Guinea-Bissau,0,0,0,0,0,0,0,0
Tanzania,4.4,53,13,0,89,87,94,94
Senegal,0,0,168,316,443,385,386,486
Uganda,0,0,0,0,0,0,0,0
Zambia,410,142,155,141,78,114,241,253
Sudan and South Sudan,0,0,0,0,0,0,0,0
Madagascar,13,10,17,40,153,263,470,561
Mauritius,62,279,401,736,707,744,784,851
Seychelles,0,0,0,0,0,0,0,0
Tunisia,17,0.1,0.6,2.3,5.3,3.1,3.9,3.6
Botswana,898,1148,1123,1108,884,769,1185,1188
Nigeria,74,3.3,8.8,42,35,53,49,159
Morocco,1955,4429,5443,4662,4973,5051,4975,7227
Sao Tome and Principe,0,0,0,0,0,0,0,0
Mauritania,6.6,0,0,0,0,0,0,0
Namibia,0,3.3,22,39,14,11,33,33
Kazakhstan,0,51162,67923,88698,94004,95027,94217,92894
China,1195768,1495721,2682752,3847153,4287557,4538507,4678490,4539682
Japan,130077,166343,199120,195959,189619,197483,208936,210608
Mongolia,7329,5745,6025,7535,7615,8374,9289,10641
Pakistan,4679,4459,8503,8507,8455,7594,7929,8291
Armenia,0,0,0,1.1,0,2.2,1.1,0.9
Bangladesh,62,728,1060,1784,1608,1990,2141,1228
Sri Lanka,8.8,0,103,105,568,798,840,1831
Afghanistan,116,1.1,36,799,1631,1367,1485,1673
Bhutan,20,73,76,144,115,152,110,111
Tajikistan,0,32,114,228,252,478,580,600
India,243012,393345,510826,735965,770315,841320,837345,880177
Turkmenistan,0,0,0,0,0,0,0,0
Georgia,0,21,20,60,162,284,528,467
Kyrgyzstan,0,1242,1441,1861,2016,2832,2224,2481
Uzbekistan,0,3860,3477,4053,4263,4306,4375,4771
Azerbaijan,0,0,5.3,8.2,6.2,6.5,6,2.2
"Korea, North",38197,24148,26047,30434,20951,21347,21666,25377
Maldives,0,0,0,0,0,0,0,0
"Korea, South",47846,73331,93500,133411,144248,141257,139557,144444
Nepal,77,474,452,557,539,403,504,604
